iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6930006214	0.609540636	0.4383735705	0.7658157603	0.7658157603	0.6787998032	0.5575757576	0.6376248613	0.5948945616
1	0.6928597923	0.6255178128	0.4550934298	0.8379578246	0.8379578246	0.7163187856	0.58984375	0.6681465039	0.6115427303
2	0.692736199	0.6225328947	0.4519402985	0.8401775805	0.8401775805	0.7151629665	0.5877329193	0.6653718091	0.6071032186
3	0.6926108708	0.6313577133	0.4613022113	0.833518313	0.833518313	0.7184883999	0.5939106366	0.673418424	0.6200517943
4	0.692483154	0.636920385	0.4672657253	0.807991121	0.807991121	0.7123287671	0.5921106141	0.6736958935	0.6289308176
5	0.6923173532	0.6437086093	0.474609375	0.8091009989	0.8091009989	0.7169904106	0.5982765696	0.6806326304	0.6378098409
6	0.6921602467	0.6476022877	0.4788549122	0.8168701443	0.8168701443	0.7224539877	0.6037735849	0.68618202	0.6426193119
7	0.6920311267	0.644993498	0.4760076775	0.8257491676	0.8257491676	0.7242638111	0.6038961039	0.685627081	0.6389197188
8	0.6918655419	0.6493506494	0.4807692308	0.8324084351	0.8324084351	0.7295719844	0.6095083299	0.6914539401	0.6444691084
9	0.6917642401	0.6506968641	0.4822466107	0.8290788013	0.8290788013	0.729136164	0.6097959184	0.692008879	0.6463189049
10	0.6916198455	0.650779896	0.4823378292	0.833518313	0.833518313	0.7309002433	0.6110659072	0.6931187569	0.6463189049
11	0.6914566118	0.6495204882	0.4809554551	0.8268590455	0.8268590455	0.7275390625	0.6081632653	0.6903440622	0.6448390677
12	0.6913016775	0.6508416055	0.4824056302	0.8368479467	0.8368479467	0.7322165574	0.612012987	0.6939511654	0.6463189049
13	0.6910972906	0.656768559	0.488946684	0.8346281909	0.8346281909	0.7350928641	0.6166461665	0.6992230855	0.6540880503
14	0.6909472285	0.656167979	0.48828125	0.8324084351	0.8324084351	0.7338551859	0.615510874	0.6981132075	0.6533481317
