iter	Passed	Remaining
0	17	3516
1	31	3086
2	37	2443
3	43	2109
4	71	2804
5	90	2913
6	96	2647
7	101	2446
8	107	2284
9	113	2158
10	151	2598
11	168	2632
12	174	2504
13	203	2700
14	223	2760
15	250	2880
16	256	2756
17	261	2644
18	267	2546
19	284	2563
20	290	2478
21	307	2491
22	313	2413
23	319	2341
24	338	2369
25	357	2393
26	363	2328
27	369	2268
28	386	2277
29	403	2285
30	409	2233
31	415	2182
32	421	2132
33	427	2085
34	447	2109
35	465	2119
36	471	2077
37	477	2034
38	483	1994
39	489	1957
40	516	2003
41	522	1965
42	528	1929
43	550	1953
44	556	1917
45	562	1882
46	567	1848
47	597	1892
48	603	1860
49	609	1828
50	615	1797
51	621	1768
52	651	1806
53	683	1846
54	688	1815
55	696	1790
56	715	1794
57	721	1766
58	780	1864
59	785	1833
60	791	1803
61	797	1775
62	803	1747
63	809	1719
64	814	1692
65	820	1665
66	849	1686
67	886	1720
68	891	1693
69	949	1762
70	954	1734
71	960	1708
72	966	1681
73	972	1656
74	981	1635
75	987	1610
76	1059	1692
77	1079	1688
78	1101	1687
79	1107	1661
80	1122	1649
81	1138	1637
82	1147	1617
83	1153	1593
84	1159	1569
85	1165	1545
86	1171	1521
87	1177	1498
88	1194	1489
89	1200	1467
90	1218	1459
91	1223	1436
92	1229	1414
93	1247	1406
94	1266	1399
95	1272	1378
96	1289	1369
97	1295	1348
98	1335	1362
99	1356	1356
100	1361	1334
101	1367	1314
102	1373	1293
103	1389	1282
104	1395	1262
105	1430	1268
106	1455	1264
107	1468	1250
108	1474	1230
109	1493	1221
110	1499	1202
111	1505	1182
112	1511	1163
113	1516	1144
114	1533	1133
115	1542	1116
116	1549	1098
117	1554	1080
118	1560	1062
119	1586	1057
120	1604	1047
121	1610	1029
122	1629	1020
123	1647	1009
124	1665	999
125	1683	988
126	1689	971
127	1708	960
128	1714	943
129	1720	926
130	1734	913
131	1769	911
132	1787	900
133	1806	889
134	1812	872
135	1845	868
136	1862	856
137	1869	839
138	1874	822
139	1880	806
140	1911	799
141	1917	783
142	1979	788
143	2013	782
144	2020	766
145	2026	749
146	2032	732
147	2038	716
148	2044	699
149	2049	683
150	2055	667
151	2061	651
152	2067	635
153	2089	624
154	2095	608
155	2101	592
156	2107	577
157	2113	561
158	2119	546
159	2139	534
160	2146	519
161	2152	504
162	2167	492
163	2179	478
164	2186	463
165	2191	448
166	2200	434
167	2216	422
168	2221	407
169	2227	393
170	2232	378
171	2238	364
172	2261	352
173	2267	338
174	2273	324
175	2278	310
176	2284	296
177	2290	283
178	2296	269
179	2302	255
180	2308	242
181	2313	228
182	2319	215
183	2325	202
184	2331	189
185	2351	176
186	2369	164
187	2375	151
188	2381	138
189	2396	126
190	2465	116
191	2493	103
192	2510	91
193	2530	78
194	2536	65
195	2541	51
196	2548	38
197	2564	25
198	2571	12
199	2603	0
