iter	Logloss
0	0.6714844557
1	0.6446693185
2	0.6305680464
3	0.6143535328
4	0.6007549269
5	0.585235394
6	0.5700904073
7	0.5547006078
8	0.5424700161
9	0.5344160307
10	0.5248589873
11	0.5179996575
12	0.5101291472
13	0.500583968
14	0.4955952178
15	0.4910383855
16	0.4869707418
17	0.4807747996
18	0.4722700749
19	0.4670858509
20	0.4618079568
21	0.4582092688
22	0.4517047563
23	0.4479194675
24	0.4416373501
25	0.4343609243
26	0.4263526143
27	0.4205009024
28	0.414917698
29	0.4088695039
30	0.4041108119
31	0.3981148136
32	0.3946779226
33	0.3906852285
34	0.3877850503
35	0.3837337746
36	0.3796754409
37	0.3742885842
38	0.3706825693
39	0.3649735976
40	0.3618458819
41	0.3563353753
42	0.3513092848
43	0.3474140251
44	0.3414644082
45	0.3383057716
46	0.3334999589
47	0.329730601
48	0.3261129909
49	0.3237543316
50	0.320811133
51	0.3170790483
52	0.3126630741
53	0.3101870163
54	0.3073733158
55	0.305352232
56	0.3015138399
57	0.298892185
58	0.2972483362
59	0.2951142903
60	0.2920488198
61	0.2895854664
62	0.2869952702
63	0.284219515
64	0.2820983752
65	0.2807328649
66	0.2788924835
67	0.2768666608
68	0.2739862787
69	0.2722541372
70	0.2705566137
71	0.2679916583
72	0.2667036519
73	0.2621967803
74	0.2610471448
75	0.2593864071
76	0.2572694686
77	0.2539007044
78	0.2517152022
79	0.2502306631
80	0.2488405001
81	0.2469279419
82	0.2456231138
83	0.2427370853
84	0.2409195921
85	0.2395730712
86	0.238503914
87	0.2374259344
88	0.235420664
89	0.2342223281
90	0.2315883216
91	0.2298760099
92	0.2284603539
93	0.2276482267
94	0.2261601923
95	0.2243124504
96	0.2231728306
97	0.2206565084
98	0.2197173535
99	0.2187321029
100	0.2170468973
101	0.2157823168
102	0.214649587
103	0.2123082031
104	0.211122286
105	0.2102251095
106	0.2084953711
107	0.2064733967
108	0.2057148433
109	0.2036670231
110	0.201705126
111	0.199667103
112	0.1984656918
113	0.1972421655
114	0.1953690315
115	0.1937699171
116	0.1916297879
117	0.1904375858
118	0.1895211846
119	0.1890073936
120	0.1883616006
121	0.1869919227
122	0.1857862431
123	0.1850425787
124	0.1842087733
125	0.1832475032
126	0.1819052675
127	0.1809121355
128	0.1796439251
129	0.1783995103
130	0.1769822243
131	0.1760101654
132	0.1754654872
133	0.1734111299
134	0.1723367968
135	0.1713407071
136	0.1701209787
137	0.1692547231
138	0.1686617477
139	0.1676698256
140	0.1668037213
141	0.1650376173
142	0.1631039859
143	0.1619704158
144	0.1612320114
145	0.1605465087
146	0.1596523571
147	0.1585956187
148	0.1578139587
149	0.1569344777
150	0.1561408526
151	0.1555545992
152	0.1542793139
153	0.1533845742
154	0.1524281271
155	0.1515327151
156	0.1505529597
157	0.149972672
158	0.14917051
159	0.1484024451
160	0.1480109261
161	0.1475328958
162	0.1467035773
163	0.1458737882
164	0.1447810875
165	0.1439880506
166	0.1433758841
167	0.142705909
168	0.1417084749
169	0.1410507
170	0.1401023025
171	0.1392679004
172	0.1382170858
173	0.1371879073
174	0.1360870311
175	0.1351706299
176	0.1345557326
177	0.1342349536
178	0.1335304949
179	0.133053893
180	0.1321482637
181	0.1316613857
182	0.1308017344
183	0.1302145147
184	0.1296389408
185	0.1291612381
186	0.1283814771
187	0.1279182518
188	0.127406469
189	0.1269372696
190	0.1265751339
191	0.1255615839
192	0.1248917769
193	0.1246082373
194	0.1240268825
195	0.123394525
196	0.1227131142
197	0.122340341
198	0.122029544
199	0.1214562555
200	0.1210181787
201	0.1205040012
202	0.1196809844
203	0.1192252457
204	0.1189192549
205	0.1181986468
206	0.1178136481
207	0.1172647434
208	0.1168771147
209	0.1163420992
210	0.1153635033
211	0.1149504237
212	0.1146350306
213	0.1141461276
214	0.1138192904
215	0.1135062331
216	0.1129783009
217	0.112426573
218	0.1119270325
219	0.1114415996
220	0.1111795283
221	0.1109024922
222	0.1106147766
223	0.1104176139
224	0.1101593068
225	0.1097033749
226	0.1092713478
227	0.1086766247
228	0.108243186
229	0.1076087111
230	0.1069862265
231	0.1067009896
232	0.1061067119
233	0.1056564432
234	0.1052958787
235	0.104828217
236	0.1043257524
237	0.104214454
238	0.1037691091
239	0.1035483524
240	0.1033420395
241	0.1030329482
242	0.1027065479
243	0.1024036323
244	0.1021852535
245	0.1018347971
246	0.1015537447
247	0.1013767982
248	0.101082806
249	0.1006106574
250	0.1000623661
251	0.09968541687
252	0.09949354768
253	0.0993197689
254	0.0987440773
255	0.09847335983
256	0.09802219206
257	0.09777938742
258	0.09753232275
259	0.09725014439
260	0.09707742431
261	0.09665492558
262	0.09623918239
263	0.09596449058
264	0.09565045865
265	0.09545001059
266	0.09516465611
267	0.09468607125
268	0.09432046529
269	0.09411517744
270	0.09390860402
271	0.09352385735
272	0.09317656025
273	0.09278034429
274	0.0925874584
275	0.09223628779
276	0.09207458328
277	0.09176452569
278	0.09141112844
279	0.09116320673
280	0.09101148429
281	0.09073258287
282	0.09034769336
283	0.09012767607
284	0.08986115981
285	0.08973653516
286	0.08946873333
287	0.08924830433
288	0.08889522637
289	0.08866110982
290	0.08831960199
291	0.08810279443
292	0.08793838434
293	0.08774872498
294	0.08750928971
295	0.08720019
296	0.08698276066
297	0.08659093916
298	0.08643654475
299	0.08626831996
