iter	Passed	Remaining
0	34	10358
1	58	8790
2	76	7531
3	94	7006
4	115	6816
5	135	6650
6	153	6438
7	172	6286
8	193	6246
9	213	6189
10	233	6129
11	262	6289
12	291	6436
13	310	6343
14	331	6302
15	349	6205
16	370	6173
17	393	6164
18	444	6571
19	471	6597
20	505	6709
21	527	6668
22	545	6572
23	564	6487
24	582	6404
25	600	6332
26	621	6281
27	654	6358
28	677	6335
29	713	6419
30	735	6382
31	753	6310
32	773	6261
33	793	6207
34	813	6161
35	850	6238
36	876	6231
37	907	6253
38	932	6243
39	951	6187
40	970	6129
41	988	6071
42	1007	6024
43	1030	5996
44	1064	6032
45	1095	6051
46	1116	6008
47	1145	6014
48	1167	5980
49	1189	5945
50	1208	5900
51	1226	5851
52	1244	5801
53	1270	5789
54	1309	5833
55	1341	5845
56	1377	5873
57	1399	5840
58	1423	5816
59	1441	5767
60	1459	5719
61	1481	5688
62	1514	5699
63	1540	5679
64	1569	5675
65	1618	5739
66	1644	5717
67	1668	5691
68	1692	5667
69	1726	5674
70	1761	5679
71	1800	5701
72	1833	5699
73	1855	5666
74	1874	5624
75	1895	5586
76	1916	5551
77	1937	5514
78	1966	5500
79	1996	5491
80	2046	5532
81	2104	5595
82	2139	5594
83	2172	5587
84	2200	5564
85	2226	5540
86	2253	5516
87	2290	5517
88	2326	5515
89	2376	5546
90	2407	5529
91	2434	5504
92	2455	5465
93	2490	5458
94	2516	5429
95	2540	5397
96	2561	5359
97	2591	5340
98	2627	5335
99	2662	5324
100	2711	5341
101	2738	5315
102	2765	5289
103	2795	5268
104	2830	5256
105	2855	5225
106	2899	5229
107	2943	5232
108	2991	5241
109	3032	5238
110	3056	5204
111	3080	5171
112	3103	5135
113	3132	5111
114	3164	5090
115	3188	5057
116	3221	5038
117	3249	5011
118	3279	4988
119	3304	4956
120	3342	4943
121	3380	4931
122	3402	4896
123	3426	4863
124	3445	4823
125	3478	4803
126	3514	4786
127	3559	4783
128	3591	4760
129	3617	4730
130	3641	4697
131	3663	4663
132	3685	4627
133	3709	4595
134	3737	4568
135	3779	4557
136	3831	4559
137	3870	4543
138	3903	4521
139	3930	4491
140	3960	4466
141	4002	4453
142	4024	4418
143	4044	4381
144	4071	4352
145	4097	4322
146	4140	4309
147	4198	4311
148	4232	4289
149	4261	4261
150	4286	4230
151	4310	4196
152	4334	4164
153	4356	4130
154	4388	4105
155	4422	4082
156	4465	4067
157	4502	4046
158	4528	4016
159	4551	3982
160	4574	3949
161	4595	3914
162	4617	3881
163	4640	3847
164	4671	3821
165	4699	3793
166	4728	3765
167	4763	3743
168	4816	3733
169	4838	3700
170	4882	3683
171	4902	3648
172	4923	3614
173	4944	3580
174	4968	3549
175	5002	3524
176	5031	3496
177	5060	3468
178	5087	3439
179	5111	3407
180	5131	3373
181	5154	3342
182	5172	3307
183	5193	3273
184	5226	3248
185	5256	3221
186	5309	3208
187	5338	3180
188	5359	3147
189	5381	3115
190	5413	3089
191	5452	3066
192	5473	3034
193	5500	3005
194	5519	2972
195	5553	2946
196	5576	2915
197	5599	2884
198	5627	2856
199	5659	2829
200	5679	2797
201	5699	2765
202	5719	2733
203	5752	2707
204	5784	2680
205	5804	2648
206	5824	2616
207	5855	2589
208	5884	2561
209	5904	2530
210	5927	2500
211	5964	2475
212	5985	2444
213	6006	2413
214	6029	2383
215	6062	2357
216	6098	2332
217	6118	2301
218	6149	2274
219	6179	2246
220	6201	2216
221	6222	2186
222	6243	2155
223	6262	2124
224	6294	2098
225	6333	2073
226	6357	2044
227	6392	2018
228	6412	1988
229	6431	1957
230	6451	1927
231	6470	1896
232	6491	1866
233	6524	1840
234	6559	1814
235	6596	1788
236	6619	1759
237	6640	1729
238	6658	1699
239	6678	1669
240	6696	1639
241	6715	1609
242	6754	1584
243	6804	1561
244	6831	1533
245	6850	1503
246	6870	1474
247	6894	1445
248	6936	1420
249	6960	1392
250	6985	1363
251	7018	1336
252	7053	1310
253	7086	1283
254	7116	1255
255	7136	1226
256	7158	1197
257	7176	1168
258	7195	1139
259	7215	1110
260	7247	1082
261	7289	1057
262	7333	1031
263	7359	1003
264	7379	974
265	7399	945
266	7421	917
267	7444	888
268	7487	862
269	7543	838
270	7590	812
271	7622	784
272	7645	756
273	7663	727
274	7685	698
275	7713	670
276	7748	643
277	7785	616
278	7823	588
279	7863	561
280	7892	533
281	7922	505
282	7957	478
283	7985	449
284	8005	421
285	8028	393
286	8048	364
287	8087	336
288	8144	310
289	8218	283
290	8262	255
291	8296	227
292	8326	198
293	8361	170
294	8415	142
295	8456	114
296	8483	85
297	8511	57
298	8536	28
299	8569	0
